chr1	28871	31370	NR_024540	WASH7P	promoter_2	2499	2.49501676281354	TRUE	TRUE	2.14799356556617			1.91989335566064		
chr1	778135	780634	NR_168328	LOC100288069	promoter_32	2499	2.53102566674398	TRUE	TRUE	2.02395330226612			1.89667474539853	TRUE	
chr1	919193	921692	NR_026874	LINC02593	promoter_42	2499	3.13120517164952	TRUE	TRUE	1.65758003420246			1.654974207596		
chr1	919193	921692	NR_122045	LINC02593	promoter_43	2499	3.13120517164952	TRUE	TRUE	1.65758003420246			1.654974207596		
chr1	921922	924421	NM_001385640	SAMD11	promoter_45	2499	2.53369266872561	TRUE	TRUE	1.31687885668489			1.35998674667971		
chr1	921922	924421	NM_001385641	SAMD11	promoter_46	2499	2.53369266872561	TRUE	TRUE	1.31687885668489			1.35998674667971		
chr1	925105	927604	NR_168405	LOC107985728	promoter_44	2499	3.15655332612496	TRUE	TRUE	1.30478497487234			1.21605189924991		
chr1	964481	966980	NM_032129	PLEKHN1	promoter_50	2499	2.81829560372772	TRUE	TRUE	1.45092801679883			1.3531092053464		
chr1	964481	966980	NM_001367552	PLEKHN1	promoter_51	2499	2.81829560372772	TRUE	TRUE	1.45092801679883			1.3531092053464		
chr1	964481	966980	NM_001160184	PLEKHN1	promoter_52	2499	2.81829560372772	TRUE	TRUE	1.45092801679883			1.3531092053464		
chr1	980674	983173	NM_001369898	PERM1	promoter_55	2499	2.53288733678151	TRUE	TRUE	1.19315218481688			1.25822865942634		
chr1	981594	984093	NM_001291367	PERM1	promoter_53	2499	2.35853448117742	TRUE	TRUE	1.16323486166228			1.16071993273319		
chr1	981594	984093	NM_001369897	PERM1	promoter_54	2499	2.35853448117742	TRUE	TRUE	1.16323486166228			1.16071993273319		
chr1	981594	984093	NM_001291366	PERM1	promoter_56	2499	2.35853448117742	TRUE	TRUE	1.16323486166228			1.16071993273319		
chr1	1011496	1013995	NM_005101	ISG15	promoter_59	2499	2.12235482648946	TRUE	TRUE	1.43468924588601			1.80855235485219	TRUE	
chr1	1031992	1034491	NM_001364727	AGRN	promoter_62	2499	1.90411290201163	TRUE	TRUE	1.2546893500672			0.821544011157195		
chr1	1068838	1071337	NR_168433	LOC105378948	promoter_64	2499	2.10760078477136	TRUE	TRUE	1.28447579769097			1.04988220609061		
chr1	1068838	1071337	NR_168432	LOC105378948	promoter_65	2499	2.10760078477136	TRUE	TRUE	1.28447579769097			1.04988220609061		
chr1	1135016	1137515	NR_038869	LINC01342	promoter_70	2499	2.08285074595455	TRUE	TRUE	1.58275834799239			1.51680379854847		
chr1	1213654	1216153	NM_003327	TNFRSF4	promoter_80	2499	2.77197434635214	TRUE	TRUE	1.77973954424939			1.52657721191766		
chr1	1231502	1234001	NM_016176	SDF4	promoter_81	2499	3.35573636685302	TRUE	TRUE	1.56096059711223			1.89878053228906		
chr1	1231502	1234001	NM_016547	SDF4	promoter_82	2499	3.35573636685302	TRUE	TRUE	1.56096059711223			1.89878053228906		
chr1	1278435	1280934	NR_037668	SCNN1D	promoter_89	2499	1.7417051797845	TRUE		1.4804324725636			2.15903257915367	TRUE	TRUE
chr1	1278435	1280934	NM_001130413	SCNN1D	promoter_90	2499	1.7417051797845	TRUE		1.4804324725636			2.15903257915367	TRUE	TRUE
